Date,"Close Price"
"2018-03-11 00:00:00",8474.54
"2018-03-11 01:00:00",8597.54
"2018-03-11 02:00:00",8726.53
"2018-03-11 03:00:00",8634.72
"2018-03-11 04:00:00",8677.05
"2018-03-11 05:00:00",8818.39
"2018-03-11 06:00:00",8813.06
"2018-03-11 07:00:00",8714.73
"2018-03-11 08:00:00",8787.98
"2018-03-11 09:00:00",8645.02
"2018-03-11 10:00:00",8701.67
"2018-03-11 11:00:00",9067.62
"2018-03-11 12:00:00",9196.58
"2018-03-11 13:00:00",9245.57
"2018-03-11 14:00:00",9215.45
"2018-03-11 15:00:00",9078.92
"2018-03-11 16:00:00",9209.07
"2018-03-11 17:00:00",9625.64
"2018-03-11 18:00:00",9610.7
"2018-03-11 19:00:00",9651.47
"2018-03-11 20:00:00",9633.77
"2018-03-11 21:00:00",9538.96
"2018-03-11 22:00:00",9561
"2018-03-11 23:00:00",9522.95
"2018-03-12 00:00:00",9590.26
"2018-03-12 01:00:00",9545.51
"2018-03-12 02:00:00",9577.81
"2018-03-12 03:00:00",9431.82
"2018-03-12 04:00:00",9548.63
"2018-03-12 05:00:00",9571.85
"2018-03-12 06:00:00",9613.91
"2018-03-12 07:00:00",9590.18
"2018-03-12 08:00:00",9548.02
"2018-03-12 09:00:00",9815.36
"2018-03-12 10:00:00",9823.74
"2018-03-12 11:00:00",9834.23
"2018-03-12 12:00:00",9781.77
"2018-03-12 13:00:00",9770.93
"2018-03-12 14:00:00",9226.03
"2018-03-12 15:00:00",9169.87
"2018-03-12 16:00:00",9183.69
"2018-03-12 17:00:00",9202.28
"2018-03-12 18:00:00",9207.24
"2018-03-12 19:00:00",8931.95
"2018-03-12 20:00:00",9005.74
"2018-03-12 21:00:00",9103.66
"2018-03-12 22:00:00",9050.86
"2018-03-12 23:00:00",9108.13
"2018-03-13 00:00:00",9246.37
"2018-03-13 01:00:00",9095.32
"2018-03-13 02:00:00",9119
"2018-03-13 03:00:00",9047.69
"2018-03-13 04:00:00",9377.55
"2018-03-13 05:00:00",9386.45
"2018-03-13 06:00:00",9348.3
"2018-03-13 07:00:00",9201.11
"2018-03-13 08:00:00",9178.04
"2018-03-13 09:00:00",9270.08
"2018-03-13 10:00:00",8934.23
"2018-03-13 11:00:00",9063.06
"2018-03-13 12:00:00",8907.46
"2018-03-13 13:00:00",9125.95
"2018-03-13 14:00:00",9085.92
"2018-03-13 15:00:00",9078.34
"2018-03-13 16:00:00",9255.45
"2018-03-13 17:00:00",9109.5
"2018-03-13 18:00:00",9162.11
"2018-03-13 19:00:00",9055.8
"2018-03-13 20:00:00",9023.45
"2018-03-13 21:00:00",9101.12
"2018-03-13 22:00:00",9160.24
"2018-03-13 23:00:00",9145.72
"2018-03-14 00:00:00",9302.03
"2018-03-14 01:00:00",9280.72
"2018-03-14 02:00:00",9227.17
"2018-03-14 03:00:00",9257.26
"2018-03-14 04:00:00",9102.36
"2018-03-14 05:00:00",9181.75
"2018-03-14 06:00:00",9175.24
"2018-03-14 07:00:00",9076.43
"2018-03-14 08:00:00",9115.74
"2018-03-14 09:00:00",8905.26
"2018-03-14 10:00:00",8743.07
"2018-03-14 11:00:00",8684.07
"2018-03-14 12:00:00",8688.01
"2018-03-14 13:00:00",8672.39
"2018-03-14 14:00:00",8749.42
"2018-03-14 15:00:00",8741.27
"2018-03-14 16:00:00",8429.24
"2018-03-14 17:00:00",8324.33
"2018-03-14 18:00:00",8255.54
"2018-03-14 19:00:00",8301.59
"2018-03-14 20:00:00",8308.56
"2018-03-14 21:00:00",8019.42
"2018-03-14 22:00:00",8169.1
"2018-03-14 23:00:00",8200.06
"2018-03-15 00:00:00",8078.52
"2018-03-15 01:00:00",8109.22
"2018-03-15 02:00:00",7788.22
"2018-03-15 03:00:00",7887.36
"2018-03-15 04:00:00",7914.34
"2018-03-15 05:00:00",7793.52
"2018-03-15 06:00:00",7830.17
"2018-03-15 07:00:00",7880.99
"2018-03-15 08:00:00",8199.48
"2018-03-15 09:00:00",8193.39
"2018-03-15 10:00:00",8120.75
"2018-03-15 11:00:00",8255.71
"2018-03-15 12:00:00",8184.27
"2018-03-15 13:00:00",8387.98
"2018-03-15 14:00:00",8296.72
"2018-03-15 15:00:00",8112.34
"2018-03-15 16:00:00",8105.47
"2018-03-15 17:00:00",8158.75
"2018-03-15 18:00:00",8145.64
"2018-03-15 19:00:00",8229.06
"2018-03-15 20:00:00",8267.21
"2018-03-15 21:00:00",8303.23
"2018-03-15 22:00:00",8324.35
"2018-03-15 23:00:00",8261.87
"2018-03-16 00:00:00",8064.04
"2018-03-16 01:00:00",7966.74
"2018-03-16 02:00:00",8097.11
"2018-03-16 03:00:00",8032.77
"2018-03-16 04:00:00",8196.18
"2018-03-16 05:00:00",8183.94
"2018-03-16 06:00:00",8196.2
"2018-03-16 07:00:00",8254.33
"2018-03-16 08:00:00",8210.2
"2018-03-16 09:00:00",8167.26
"2018-03-16 10:00:00",8099.44
"2018-03-16 11:00:00",8189.47
"2018-03-16 12:00:00",8182.42
"2018-03-16 13:00:00",8450.44
"2018-03-16 14:00:00",8438.75
"2018-03-16 15:00:00",8539.7
"2018-03-16 16:00:00",8533.85
"2018-03-16 17:00:00",8503.64
"2018-03-16 18:00:00",8506.64
"2018-03-16 19:00:00",8540.04
"2018-03-16 20:00:00",8522.59
"2018-03-16 21:00:00",8503.52
"2018-03-16 22:00:00",8486.51
"2018-03-16 23:00:00",8303.79
"2018-03-17 00:00:00",8284.03
"2018-03-17 01:00:00",8122.48
"2018-03-17 02:00:00",8226.37
"2018-03-17 03:00:00",8206.58
"2018-03-17 04:00:00",8211.93
"2018-03-17 05:00:00",8159.87
"2018-03-17 06:00:00",8189.72
"2018-03-17 07:00:00",8203.69
"2018-03-17 08:00:00",8317.65
"2018-03-17 09:00:00",8282.98
"2018-03-17 10:00:00",8241.65
"2018-03-17 11:00:00",8262.13
"2018-03-17 12:00:00",8046.54
"2018-03-17 13:00:00",7996.85
"2018-03-17 14:00:00",7977.14
"2018-03-17 15:00:00",7900.46
"2018-03-17 16:00:00",7886.02
"2018-03-17 17:00:00",7926.53
"2018-03-17 18:00:00",7820.1
"2018-03-17 19:00:00",7794.72
"2018-03-17 20:00:00",7832.16
"2018-03-17 21:00:00",7951.32
